date,category,region,product,value,value_b,units,cost,revenue,profit
2024-01-06,C,APAC,P04,45.11,10.52,10,39.43,58.9,19.47
2024-01-06,C,AMER,P10,75.23,12.53,23,73.18,118.17,44.99
2024-01-06,D,APAC,P03,39.55,16.87,12,29.48,74.94,45.46
2024-01-06,A,EMEA,P05,39.9,29.11,11,25.51,66.39,40.88
2024-01-07,D,AMER,P07,33.12,11.96,9,25.8,41.9,16.1
2024-01-07,C,EMEA,P09,37.08,25.6,9,25.87,41.84,15.97
2024-01-07,A,,P04,36.74,13.41,8,29.59,66.88,37.29
2024-01-07,B,,P07,58.49,12.5,14,53.3,79.79,26.49
2024-01-07,A,APAC,P07,52.89,10.7,12,29.01,71.99,42.98
2024-01-07,A,APAC,P02,44.2,18.16,14,41.06,79.13,38.07
2024-01-07,A,APAC,P08,89.51,31.69,6,44.41,81.57,37.16
2024-01-07,B,AMER,P03,48.83,5.72,18,46.61,92.78,46.17
2024-01-07,C,EMEA,P07,23.85,8.99,8,22.76,44.62,21.86
2024-01-07,B,EMEA,P03,23.91,5.82,11,20.14,49.0,28.86
2024-01-07,E,APAC,P03,18.18,30.52,12,14.52,30.18,15.66
2024-01-07,D,EMEA,P06,79.89,14.26,19,53.05,89.72,36.67
2024-01-07,A,EMEA,P02,19.07,25.19,13,11.22,31.45,20.23
2024-01-07,B,AMER,P06,49.16,19.94,7,29.77,77.74,47.97
2024-01-07,A,AMER,P10,20.59,10.14,12,14.78,30.82,16.04
2024-01-07,B,EMEA,P06,47.35,13.28,17,42.85,71.98,29.13
2024-01-07,E,AMER,P08,80.84,12.26,15,75.97,108.83,32.86
2024-01-07,A,EMEA,P03,53.53,20.46,13,37.87,57.93,20.06
2024-01-08,B,APAC,P02,25.71,11.49,8,12.7,31.58,18.88
2024-01-08,B,AMER,P06,27.86,11.76,12,20.6,48.32,27.72
2024-01-08,D,APAC,P07,64.63,10.06,7,47.56,88.03,40.47
2024-01-08,A,EMEA,P04,27.13,7.57,6,19.06,39.61,20.55
2024-01-08,D,APAC,P06,50.34,8.12,17,40.69,66.5,25.81
2024-01-08,E,EMEA,P01,21.76,22.52,10,16.72,37.0,20.28
2024-01-08,E,AMER,P04,63.0,10.42,9,33.75,91.94,58.19
2024-01-08,A,AMER,P03,21.1,19.0,12,19.01,42.69,23.68
2024-01-08,C,APAC,P03,13.05,8.32,10,16.0,29.16,13.16
2024-01-08,D,AMER,P08,29.83,46.38,17,31.86,52.31,20.45
2024-01-08,A,APAC,P07,56.83,26.28,11,31.54,85.71,54.17
2024-01-08,E,APAC,P07,21.69,23.45,8,15.69,34.19,18.5
2024-01-08,B,EMEA,P10,32.54,23.69,17,27.09,41.02,13.93
2024-01-08,B,EMEA,P09,125.48,19.24,12,73.1,138.47,65.37
2024-01-09,E,APAC,P04,30.26,9.73,12,23.83,50.84,27.01
2024-01-09,E,APAC,P08,48.8,37.07,12,25.06,50.09,25.03
2024-01-09,B,APAC,P04,33.96,33.82,13,22.46,43.37,20.91
2024-01-09,A,AMER,P06,9.42,18.1,15,19.89,34.01,14.12
2024-01-09,E,EMEA,P05,56.6,29.04,15,34.5,82.3,47.8
2024-01-09,E,EMEA,P01,50.09,15.32,11,46.2,79.69,33.49
2024-01-09,D,AMER,P07,54.6,23.82,15,32.49,53.59,21.1
2024-01-09,B,EMEA,P02,28.14,8.07,10,22.91,32.57,9.66
2024-01-09,A,APAC,P03,39.95,21.1,9,22.93,53.15,30.22
2024-01-09,B,APAC,P05,52.15,38.03,12,45.48,88.02,42.54
2024-01-10,B,APAC,P02,14.47,8.95,12,14.7,32.26,17.56
2024-01-10,C,EMEA,P03,23.96,11.65,6,13.9,30.08,16.18
2024-01-10,C,APAC,P05,29.95,12.71,13,20.07,41.78,21.71
2024-01-10,B,EMEA,P06,27.05,18.5,12,19.42,44.52,25.1
2024-01-10,A,EMEA,P01,38.86,22.63,16,28.19,63.96,35.77
2024-01-10,B,APAC,P09,11.78,20.5,11,16.36,32.77,16.41
2024-01-10,A,AMER,P02,45.96,52.97,11,37.06,70.02,32.96
2024-01-10,B,EMEA,P10,15.73,7.71,9,14.64,24.78,10.14
2024-01-10,D,EMEA,P02,77.41,14.5,15,60.29,93.08,32.79
2024-01-10,C,APAC,P03,52.75,5.83,13,33.91,67.94,34.03
2024-01-10,D,EMEA,P01,60.36,21.87,6,47.58,81.48,33.9
2024-01-10,D,EMEA,P05,105.65,11.3,15,72.31,138.36,66.05
2024-01-10,A,EMEA,P04,24.96,39.26,15,23.51,69.14,45.63
2024-01-10,D,APAC,P01,54.91,7.99,13,39.65,59.0,19.35
2024-01-10,A,EMEA,P10,57.72,16.77,14,37.47,68.36,30.89
2024-01-10,D,EMEA,P10,38.85,10.14,18,31.55,75.53,43.98
2024-01-11,D,APAC,P07,38.83,24.34,7,22.15,65.27,43.12
2024-01-11,C,AMER,P06,117.43,31.25,12,64.96,122.81,57.85
2024-01-11,D,APAC,P07,63.53,9.06,9,47.29,71.44,24.15
2024-01-11,A,APAC,P05,32.82,9.06,12,21.54,42.71,21.17
2024-01-11,E,,P10,24.83,20.26,12,20.57,32.24,11.67
2024-01-11,A,EMEA,P08,77.89,,13,63.62,114.53,50.91
2024-01-11,C,APAC,P04,38.01,23.75,12,26.56,58.63,32.07
2024-01-11,E,APAC,P07,33.12,20.61,11,26.19,38.61,12.42
2024-01-11,D,EMEA,P05,10.17,15.32,12,21.92,40.85,18.93
2024-01-12,E,APAC,P06,60.49,,18,63.17,82.94,19.77
2024-01-12,C,EMEA,P07,21.25,10.9,19,34.61,56.52,21.91
2024-01-12,A,EMEA,P05,48.25,28.48,12,35.38,56.14,20.76
2024-01-12,D,AMER,P10,58.63,2.29,11,36.23,94.67,58.44
2024-01-12,B,EMEA,P04,44.35,9.91,7,24.52,71.0,46.48
2024-01-12,A,AMER,P09,61.69,24.34,12,41.65,78.74,37.09
2024-01-12,E,APAC,P05,60.54,44.18,16,44.04,69.96,25.92
2024-01-12,D,AMER,P08,84.42,17.12,16,46.95,84.35,37.4
2024-01-12,C,APAC,P01,26.01,2.58,13,17.68,43.64,25.96
2024-01-12,B,APAC,P07,37.82,30.13,10,27.48,58.63,31.15
2024-01-12,D,,P04,27.73,31.09,20,32.24,52.69,20.45
2024-01-12,B,EMEA,P04,51.74,24.98,13,27.96,71.74,43.78
2024-01-12,D,EMEA,P04,49.99,19.67,18,33.83,82.29,48.46
2024-01-12,C,APAC,P03,33.94,21.21,17,21.67,66.44,44.77
2024-01-12,B,APAC,P07,43.01,7.52,7,32.15,57.49,25.34
2024-01-12,D,EMEA,P05,15.6,19.35,11,15.79,48.32,32.53
2024-01-12,D,EMEA,P06,36.62,18.17,12,28.41,47.87,19.46
2024-01-12,C,EMEA,P06,36.76,27.53,7,28.62,55.67,27.05
2024-01-12,A,APAC,P01,24.04,28.25,14,21.75,55.06,33.31
2024-01-12,A,APAC,P10,12.54,,13,15.38,35.85,20.47
2024-01-12,C,EMEA,P03,45.51,9.58,16,32.54,80.68,48.14
2024-01-12,A,EMEA,P04,32.29,12.89,14,36.57,49.44,12.87
2024-01-12,C,APAC,P10,24.56,39.94,5,16.96,27.37,10.41
2024-01-13,C,EMEA,P10,61.48,22.5,10,45.22,89.05,43.83
2024-01-13,E,APAC,P05,29.99,6.12,15,25.39,43.15,17.76
2024-01-13,D,EMEA,P09,54.58,31.16,12,35.16,75.64,40.48
2024-01-13,A,APAC,P08,36.01,3.89,13,21.07,56.88,35.81
2024-01-13,A,,P02,71.72,8.12,14,50.19,126.88,76.69
2024-01-13,C,AMER,P04,37.88,30.06,9,29.19,49.02,19.83
2024-01-13,B,APAC,P10,60.86,13.78,8,39.98,59.58,19.6
2024-01-13,D,AMER,P08,39.75,67.09,21,35.22,79.83,44.61
2024-01-13,C,AMER,P07,46.86,17.68,14,45.72,76.54,30.82
2024-01-13,E,EMEA,P08,44.61,19.39,11,39.27,54.72,15.45
2024-01-13,A,EMEA,P09,27.91,7.56,13,23.89,39.93,16.04
2024-01-13,E,APAC,P05,39.83,34.45,12,26.65,53.59,26.94
2024-01-13,E,EMEA,P07,44.53,14.35,10,39.51,59.83,20.32
2024-01-13,A,AMER,P01,29.91,22.97,9,19.81,52.33,32.52
2024-01-13,B,APAC,P09,54.56,38.19,13,42.02,87.14,45.12
2024-01-13,E,APAC,P10,53.89,,15,34.91,78.23,43.32
2024-01-13,A,APAC,P06,43.42,23.52,8,30.36,49.96,19.6
2024-01-13,E,APAC,P06,49.76,20.57,6,32.09,49.98,17.89
2024-01-14,C,AMER,P05,40.17,5.57,6,22.21,43.04,20.83
2024-01-14,D,EMEA,P10,32.31,23.92,20,33.48,78.87,45.39
2024-01-14,D,APAC,P01,46.87,12.76,11,28.15,52.78,24.63
2024-01-14,E,APAC,P05,76.93,22.46,17,36.64,74.3,37.66
2024-01-14,A,APAC,P07,42.61,3.63,11,32.39,66.86,34.47
2024-01-14,E,APAC,P06,40.25,3.1,14,23.25,56.65,33.4
2024-01-14,C,AMER,P03,67.72,29.45,12,44.63,110.83,66.2
2024-01-14,A,AMER,P04,14.92,17.28,13,16.23,21.67,5.44
2024-01-14,D,EMEA,P07,32.01,17.2,6,29.02,46.28,17.26
2024-01-14,C,AMER,P06,87.75,6.85,8,52.16,105.24,53.08
2024-01-14,B,EMEA,P09,30.37,17.11,12,27.42,34.7,7.28
2024-01-14,A,AMER,P09,31.13,13.26,12,25.24,45.42,20.18
2024-01-14,C,APAC,P10,35.63,17.66,10,29.78,56.8,27.02
2024-01-15,A,EMEA,P01,32.48,10.38,11,26.82,43.8,16.98
2024-01-15,E,EMEA,P03,27.84,26.31,9,18.71,49.87,31.16
2024-01-15,C,AMER,P03,59.59,8.52,11,42.52,62.03,19.51
2024-01-15,A,AMER,P01,26.22,6.47,12,21.57,31.12,9.55
2024-01-15,A,AMER,P02,60.03,8.52,9,35.41,86.35,50.94
2024-01-15,B,AMER,P09,54.95,42.17,11,45.67,74.31,28.64
2024-01-15,A,APAC,P07,78.5,37.09,9,63.48,102.02,38.54
2024-01-15,A,APAC,P06,14.46,9.99,9,8.04,17.5,9.46
2024-01-15,E,AMER,P09,23.39,15.32,7,25.12,44.3,19.18
2024-01-15,B,EMEA,P03,41.18,17.26,15,28.2,51.79,23.59
2024-01-16,A,APAC,P02,57.95,5.59,11,34.67,76.65,41.98
2024-01-16,C,EMEA,P07,35.13,13.89,8,27.46,41.45,13.99
2024-01-16,D,AMER,P08,26.56,17.95,16,15.64,42.65,27.01
2024-01-16,A,APAC,P02,34.58,53.16,11,33.86,68.02,34.16
2024-01-16,C,AMER,P02,24.43,17.03,10,19.06,38.82,19.76
2024-01-16,C,EMEA,P08,45.31,13.19,14,26.46,77.96,51.5
2024-01-16,A,EMEA,P05,57.56,37.37,7,29.71,72.98,43.27
2024-01-16,A,APAC,P09,117.45,2.71,12,62.7,134.03,71.33
2024-01-16,D,AMER,P05,38.94,10.44,6,22.67,36.17,13.5
2024-01-16,E,APAC,P05,67.05,10.53,10,47.07,101.36,54.29
2024-01-16,E,APAC,P10,43.79,9.72,6,26.76,55.52,28.76
2024-01-16,D,APAC,P04,59.93,13.85,20,28.9,61.18,32.28
2024-01-16,E,APAC,P10,13.77,13.8,14,15.95,25.76,9.81
2024-01-16,D,EMEA,P05,53.39,21.72,13,30.28,67.97,37.69
2024-01-16,E,EMEA,P05,40.36,3.84,10,24.92,43.81,18.89
2024-01-17,D,,P06,51.62,24.2,15,32.38,58.21,25.83
2024-01-17,D,EMEA,P09,27.81,11.4,11,16.23,36.83,20.6
2024-01-17,D,EMEA,P01,54.18,12.48,11,35.11,74.73,39.62
2024-01-17,B,APAC,P03,11.0,28.13,7,7.51,16.02,8.51
2024-01-17,E,APAC,P10,55.92,18.19,13,43.16,75.99,32.83
2024-01-17,D,EMEA,P06,27.93,31.68,12,33.47,45.98,12.51
2024-01-17,E,APAC,P07,26.35,7.42,13,31.05,61.78,30.73
2024-01-17,C,AMER,P04,34.79,14.06,13,32.08,47.73,15.65
2024-01-17,C,EMEA,P06,34.0,22.34,13,18.91,48.84,29.93
2024-01-17,B,APAC,P10,46.27,12.39,8,40.04,62.53,22.49
2024-01-17,D,APAC,P10,27.43,4.33,7,20.68,35.37,14.69
2024-01-17,E,APAC,P09,31.0,17.52,9,19.58,34.63,15.05
2024-01-17,C,EMEA,P09,32.91,10.9,9,16.7,49.58,32.88
2024-01-17,A,APAC,P06,32.61,14.49,15,36.89,62.1,25.21
2024-01-17,E,APAC,P03,36.98,27.66,11,25.13,49.91,24.78
2024-01-17,B,APAC,P06,27.04,12.18,16,32.42,44.69,12.27
2024-01-17,C,EMEA,P09,15.19,24.34,11,22.1,29.68,7.58
2024-01-18,E,EMEA,P03,29.17,5.74,10,16.94,41.74,24.8
2024-01-18,A,EMEA,P02,49.11,10.07,16,36.61,73.27,36.66
2024-01-18,E,AMER,P10,25.43,6.18,7,18.32,33.68,15.36
2024-01-18,D,APAC,P03,11.18,25.81,7,11.52,28.61,17.09
2024-01-18,C,AMER,P09,49.74,18.29,11,40.48,63.09,22.61
2024-01-18,C,EMEA,P06,26.37,14.86,11,26.29,43.03,16.74
2024-01-18,C,AMER,P05,14.34,12.19,11,15.7,29.19,13.49
2024-01-18,B,APAC,P02,32.46,15.3,8,21.44,58.47,37.03
2024-01-19,C,APAC,P02,64.05,23.7,13,37.37,77.21,39.84
2024-01-19,C,APAC,P10,27.85,24.06,4,12.71,35.52,22.81
2024-01-19,D,EMEA,P02,32.12,36.5,11,25.59,53.54,27.95
2024-01-19,D,EMEA,P08,20.66,21.29,19,24.15,44.51,20.36
2024-01-19,B,APAC,P02,23.42,47.6,7,18.77,31.05,12.28
2024-01-19,D,AMER,P08,42.23,13.28,9,26.47,57.47,31.0
2024-01-19,B,EMEA,P03,63.75,13.06,3,39.41,81.92,42.51
2024-01-19,B,EMEA,P04,38.01,5.41,8,27.21,64.5,37.29
2024-01-19,C,APAC,P04,52.12,6.11,12,29.38,80.19,50.81
2024-01-19,D,APAC,P01,30.25,10.14,14,23.99,34.23,10.24
2024-01-19,B,APAC,P02,42.49,15.06,14,33.64,65.09,31.45
2024-01-19,E,APAC,P07,24.44,19.99,15,19.33,39.11,19.78
2024-01-19,D,EMEA,P09,27.35,21.06,8,29.06,42.04,12.98
2024-01-19,C,AMER,P01,59.55,11.43,7,40.38,64.88,24.5
2024-01-19,B,EMEA,P08,40.22,3.13,8,21.91,40.37,18.46
2024-01-19,B,APAC,P03,16.31,7.45,15,20.86,35.46,14.6
2024-01-19,D,EMEA,P05,23.01,31.56,7,21.71,27.15,5.44
2024-01-19,E,EMEA,P06,23.38,6.95,12,21.27,35.01,13.74
2024-01-19,B,EMEA,P10,57.52,16.77,9,32.43,86.07,53.64
2024-01-20,A,APAC,P10,69.22,9.7,9,44.43,67.51,23.08
2024-01-20,B,APAC,P03,29.45,28.04,13,24.3,43.24,18.94
2024-01-20,E,EMEA,P02,44.0,27.0,17,37.32,57.04,19.72
2024-01-20,A,APAC,P09,70.6,4.76,11,41.42,79.97,38.55
2024-01-20,A,EMEA,P10,20.91,11.16,17,15.21,35.63,20.42
2024-01-20,C,AMER,P07,44.61,23.54,13,26.04,83.39,57.35
2024-01-20,D,EMEA,P04,47.33,14.76,14,43.93,60.72,16.79
2024-01-20,C,APAC,P07,66.59,10.59,10,41.12,90.9,49.78
2024-01-20,A,EMEA,P01,46.97,8.11,13,45.34,76.68,31.34
2024-01-20,A,APAC,P10,50.4,14.78,8,35.9,61.42,25.52
2024-01-20,B,APAC,P10,22.05,11.76,12,24.1,30.07,5.97
2024-01-20,C,APAC,P06,55.03,14.08,10,41.72,62.7,20.98
2024-01-20,D,APAC,P09,40.12,17.87,13,34.49,43.69,9.2
2024-01-20,A,EMEA,P04,35.29,12.59,11,21.64,49.54,27.9
2024-01-20,A,APAC,P03,20.29,7.38,14,15.11,27.5,12.39
2024-01-21,E,AMER,P08,22.84,53.42,13,18.61,55.61,37.0
2024-01-21,A,EMEA,P04,10.82,20.66,18,26.7,35.38,8.68
2024-01-21,C,APAC,P08,25.49,7.24,12,29.07,52.52,23.45
2024-01-21,E,AMER,P08,43.63,31.55,14,29.46,63.47,34.01
2024-01-21,E,AMER,P10,39.22,10.76,12,36.29,69.61,33.32
2024-01-21,E,APAC,P10,75.08,44.08,16,50.65,93.35,42.7
2024-01-21,D,APAC,P02,48.3,10.8,14,36.67,79.9,43.23
2024-01-21,D,AMER,P09,25.74,21.06,8,20.72,35.88,15.16
2024-01-21,C,EMEA,P10,17.17,35.67,7,13.48,33.82,20.34
2024-01-21,D,APAC,P04,32.0,5.43,10,20.1,35.08,14.98
2024-01-21,B,EMEA,P06,42.72,20.46,12,40.85,58.12,17.27
2024-01-21,E,APAC,P09,46.31,4.06,9,33.0,49.76,16.76
2024-01-21,B,,P04,46.35,28.06,17,39.38,71.89,32.51
2024-01-21,C,AMER,P08,40.21,37.15,15,37.9,80.37,42.47
2024-01-21,C,APAC,P02,51.28,,16,39.8,77.07,37.27
2024-01-22,A,AMER,P01,30.64,7.83,13,30.46,63.27,32.81
2024-01-22,B,APAC,P02,30.77,15.7,5,17.46,41.24,23.78
2024-01-22,C,AMER,P02,24.66,4.47,18,23.85,46.29,22.44
2024-01-22,E,EMEA,P06,28.53,25.82,17,26.14,57.02,30.88
2024-01-22,A,APAC,P06,9.37,26.6,8,13.18,26.92,13.74
2024-01-22,C,APAC,P02,48.68,38.18,12,31.08,51.32,20.24
2024-01-22,C,APAC,P10,67.72,10.52,12,30.46,72.4,41.94
2024-01-22,E,EMEA,P09,114.37,4.8,11,73.14,107.06,33.92
2024-01-22,A,APAC,P06,47.55,,14,33.08,51.89,18.81
2024-01-22,C,APAC,P09,55.21,20.77,16,44.53,65.53,21.0
2024-01-22,D,EMEA,P09,40.91,8.87,15,33.82,78.02,44.2
2024-01-22,C,AMER,P03,46.93,69.11,9,37.02,74.92,37.9
2024-01-22,C,APAC,P08,58.13,24.79,20,43.25,86.54,43.29
2024-01-22,C,APAC,P09,37.99,17.49,13,18.98,38.36,19.38
2024-01-22,B,AMER,P02,15.31,24.49,17,20.22,52.37,32.15
2024-01-22,A,APAC,P01,30.42,5.92,11,22.41,33.22,10.81
2024-01-22,E,EMEA,P10,55.55,22.24,10,26.79,64.23,37.44
2024-01-22,C,APAC,P03,29.63,24.42,11,19.98,57.97,37.99
2024-01-23,B,APAC,P01,61.91,24.87,8,46.79,80.25,33.46
2024-01-23,A,EMEA,P04,38.74,19.21,6,31.28,45.02,13.74
2024-01-23,E,AMER,P06,10.06,13.65,15,10.31,21.4,11.09
2024-01-23,D,APAC,P06,22.86,5.45,13,22.84,32.46,9.62
2024-01-23,C,AMER,P02,23.25,20.52,11,16.51,41.13,24.62
2024-01-23,C,EMEA,P01,55.42,15.85,12,39.97,63.94,23.97
2024-01-23,D,EMEA,P02,45.46,31.57,17,46.63,81.86,35.23
2024-01-23,D,APAC,P01,31.88,29.6,11,23.94,44.89,20.95
2024-01-23,D,APAC,P01,45.1,12.86,13,32.96,61.83,28.87
2024-01-23,B,APAC,P02,35.54,10.09,6,25.18,43.14,17.96
2024-01-23,B,APAC,P03,37.86,24.91,18,35.23,57.87,22.64
2024-01-23,E,EMEA,P01,22.53,43.8,6,11.45,26.85,15.4
2024-01-23,E,EMEA,P08,12.37,19.19,9,16.93,21.6,4.67
2024-01-24,D,AMER,P05,11.72,19.46,14,21.62,43.59,21.97
2024-01-24,E,APAC,P06,33.8,12.91,10,29.37,51.82,22.45
2024-01-24,E,EMEA,P09,28.13,6.74,9,20.68,46.24,25.56
2024-01-24,C,EMEA,P03,26.87,3.17,11,17.06,47.16,30.1
2024-01-24,B,EMEA,P07,71.04,37.29,14,56.83,77.04,20.21
2024-01-24,A,APAC,P02,21.31,15.29,12,13.35,35.22,21.87
2024-01-25,C,EMEA,P09,26.79,38.18,13,19.77,43.75,23.98
2024-01-25,C,AMER,P07,31.49,28.07,9,29.11,50.37,21.26
2024-01-25,A,APAC,P06,23.11,6.24,5,17.56,34.68,17.12
2024-01-25,C,AMER,P10,100.05,,16,60.61,130.38,69.77
2024-01-25,C,EMEA,P04,62.28,50.04,12,45.68,91.0,45.32
2024-01-25,A,EMEA,P05,69.09,18.76,15,45.49,87.17,41.68
2024-01-25,B,AMER,P07,12.73,13.91,11,20.85,31.43,10.58
2024-01-25,C,AMER,P08,36.74,17.29,8,32.15,52.3,20.15
2024-01-25,E,APAC,P04,14.0,11.52,17,18.65,34.21,15.56
2024-01-25,C,AMER,P07,35.06,9.03,13,18.84,48.52,29.68
2024-01-25,A,APAC,P07,74.53,14.9,15,38.03,111.38,73.35
2024-01-25,A,AMER,P09,13.92,15.27,15,15.98,48.72,32.74
2024-01-25,C,EMEA,P07,34.54,17.02,11,32.3,53.42,21.12
2024-01-25,C,APAC,P04,46.09,13.1,9,30.67,48.03,17.36
2024-01-25,E,EMEA,P02,27.78,29.89,13,21.22,43.02,21.8
2024-01-25,C,AMER,P04,78.54,4.07,13,54.04,117.44,63.4
2024-01-25,E,APAC,P10,45.42,37.79,14,39.53,77.39,37.86
2024-01-25,A,EMEA,P01,49.34,6.59,10,25.83,65.88,40.05
2024-01-26,D,APAC,P05,60.45,10.14,11,48.36,69.27,20.91
2024-01-26,D,APAC,P03,70.3,11.46,15,48.22,101.07,52.85
2024-01-26,B,EMEA,P10,42.22,10.21,11,23.88,68.63,44.75
2024-01-26,E,EMEA,P08,71.14,16.04,12,36.97,72.95,35.98
2024-01-26,B,AMER,P05,40.19,6.49,15,35.09,71.02,35.93
2024-01-26,C,AMER,P03,40.19,7.53,16,40.51,63.39,22.88
2024-01-26,B,APAC,P03,55.5,43.85,13,28.93,62.95,34.02
2024-01-26,B,EMEA,P01,44.1,11.94,14,46.02,86.39,40.37
2024-01-26,B,AMER,P07,13.45,17.89,10,11.56,20.53,8.97
2024-01-26,E,APAC,P07,50.41,28.91,14,35.87,87.14,51.27
2024-01-26,D,AMER,P06,67.91,10.46,7,39.11,87.65,48.54
2024-01-26,E,EMEA,P08,34.39,13.24,10,30.53,41.67,11.14
2024-01-26,D,AMER,P04,30.02,10.21,12,23.88,68.54,44.66
2024-01-26,D,AMER,P06,43.47,4.51,9,32.79,57.59,24.8
2024-01-26,C,EMEA,P01,22.64,19.72,10,24.24,32.75,8.51
2024-01-27,D,APAC,P06,82.0,7.02,18,68.0,126.52,58.52
2024-01-27,E,APAC,P07,62.85,25.31,7,43.61,91.48,47.87
2024-01-27,E,EMEA,P09,18.82,19.03,12,17.3,39.35,22.05
